,MMSI,Date,Time,Latitude,Longitude,SOG,COG,HDG
0,440123380,  2017/10/01,8:46:10,34.782862,126.34281,13.0,214.1,277
1,440123380,  2017/10/01,8:46:21,34.782317,126.342357,12.9,215.4,277
2,440123380,  2017/10/01,8:46:30,34.781868,126.341968,12.9,215.5,276
3,440123380,  2017/10/01,8:46:41,34.78134,126.341512,13.0,215.6,277
4,440123380,  2017/10/01,8:46:50,34.7809,126.341132,13.0,215.2,278
5,440123380,  2017/10/01,8:47:01,34.780348,126.340658,13.0,215.0,278
6,440123380,  2017/10/01,8:47:10,34.779912,126.340293,13.1,214.9,278
7,440123380,  2017/10/01,8:47:21,34.779317,126.33979,13.1,214.9,275
8,440123380,  2017/10/01,8:47:30,34.778917,126.339455,13.1,214.3,276
9,440123380,  2017/10/01,8:47:40,34.77841,126.33904,13.0,214.2,276
10,440123380,  2017/10/01,8:47:51,34.777855,126.338585,13.1,214.0,276
11,440123380,  2017/10/01,8:48:01,34.777348,126.338172,13.2,213.9,276
12,440123380,  2017/10/01,8:48:10,34.77689,126.337795,13.2,214.3,278
13,440123380,  2017/10/01,8:48:21,34.776333,126.337335,13.2,214.0,276
14,440123380,  2017/10/01,8:48:30,34.775877,126.336967,13.1,214.0,275
15,440123380,  2017/10/01,8:48:40,34.775373,126.336545,13.1,215.1,277
16,440123380,  2017/10/01,8:48:51,34.774777,126.336027,13.1,215.9,278
17,440123380,  2017/10/01,8:49:01,34.774327,126.335623,13.1,216.7,279
18,440123380,  2017/10/01,8:49:10,34.773893,126.335228,13.1,217.2,279
19,440123380,  2017/10/01,8:49:21,34.77331,126.334693,13.1,218.1,282
20,440123380,  2017/10/01,8:49:30,34.772925,126.334333,13.1,217.7,278
21,440123380,  2017/10/01,8:49:40,34.772438,126.33388,13.1,217.0,280
22,440123380,  2017/10/01,8:49:51,34.771903,126.333382,13.2,217.9,280
23,440123380,  2017/10/01,8:50:01,34.771422,126.332925,13.1,217.5,280
24,440123380,  2017/10/01,8:50:10,34.77098,126.33252,13.1,217.4,279
25,440123380,  2017/10/01,8:50:21,34.7704,126.331987,13.1,217.2,281
26,440123380,  2017/10/01,8:50:30,34.770015,126.33163,13.0,217.1,282
27,440123380,  2017/10/01,8:50:40,34.76953,126.331187,13.1,216.6,279
28,440123380,  2017/10/01,8:51:00,34.768557,126.330303,13.1,216.2,278
29,440123380,  2017/10/01,8:51:10,34.76807,126.329867,13.0,216.1,279
30,440123380,  2017/10/01,8:51:21,34.767493,126.32934,13.1,217.4,281
31,440123380,  2017/10/01,8:51:30,34.767098,126.32897,13.2,217.4,280
32,440123380,  2017/10/01,8:51:40,34.766627,126.328527,13.1,217.7,281
33,440123380,  2017/10/01,8:51:51,34.766093,126.32803,13.1,218.0,281
34,440123380,  2017/10/01,8:52:00,34.765663,126.327623,13.1,218.2,281
35,440123380,  2017/10/01,8:52:10,34.765172,126.327157,13.1,218.4,281
36,440123380,  2017/10/01,8:52:21,34.764613,126.326622,13.1,217.9,279
37,440123380,  2017/10/01,8:52:30,34.764225,126.326257,13.1,217.3,282
38,440123380,  2017/10/01,8:52:40,34.763747,126.325807,13.1,217.6,280
39,440123380,  2017/10/01,8:52:51,34.763215,126.32531,13.1,218.1,280
40,440123380,  2017/10/01,11:58:55,34.760672,126.32508,13.3,32.9,79
41,440123380,  2017/10/01,11:59:04,34.761175,126.325473,13.2,33.2,80
42,440123380,  2017/10/01,11:59:15,34.761683,126.325885,13.0,34.5,80
43,440123380,  2017/10/01,11:59:24,34.762132,126.326268,13.1,35.1,81
44,440123380,  2017/10/01,11:59:34,34.76263,126.3267,13.1,35.0,80
45,440123380,  2017/10/01,11:59:45,34.763173,126.327178,13.1,36.4,83
46,440123380,  2017/10/01,11:59:55,34.763657,126.327623,13.0,37.2,83
47,440123380,  2017/10/01,12:00:04,34.764093,126.328032,13.1,37.9,84
48,440123380,  2017/10/01,12:00:15,34.76462,126.328532,13.0,38.1,83
49,440123380,  2017/10/01,12:00:24,34.765053,126.32894,13.1,38.1,83
50,440123380,  2017/10/01,12:00:34,34.765528,126.329402,13.0,39.1,85
51,440123380,  2017/10/01,12:00:55,34.76653,126.330382,13.0,38.1,84
52,440123380,  2017/10/01,12:01:04,34.76695,126.330782,13.0,38.2,84
53,440123380,  2017/10/01,12:01:15,34.76747,126.331282,13.0,38.1,83
54,440123380,  2017/10/01,12:01:24,34.767898,126.331683,12.9,37.7,83
55,440123380,  2017/10/01,12:01:34,34.768377,126.332123,12.9,37.1,83
56,440123380,  2017/10/01,12:01:45,34.768903,126.332605,12.9,37.4,83
57,440123380,  2017/10/01,12:01:55,34.769383,126.333045,13.0,37.3,83
58,440123380,  2017/10/01,12:02:04,34.769817,126.333448,13.1,37.8,83
59,440123380,  2017/10/01,12:02:15,34.770342,126.333938,13.0,37.3,83
60,440123380,  2017/10/01,12:02:24,34.770783,126.334343,13.1,36.7,82
61,440123380,  2017/10/01,12:02:34,34.771278,126.334793,13.2,35.9,81
62,440123380,  2017/10/01,12:02:45,34.77183,126.335287,13.1,36.0,81
63,440123380,  2017/10/01,12:02:55,34.772365,126.335753,13.1,36.0,82
64,440123380,  2017/10/01,12:03:04,34.772755,126.336105,13.2,36.8,82
65,440123380,  2017/10/01,12:03:15,34.77335,126.33664,13.2,36.5,82
66,440123380,  2017/10/01,12:03:24,34.77375,126.336992,13.2,35.8,81
67,440123380,  2017/10/01,12:03:34,34.774263,126.33743,13.2,34.7,80
68,440123380,  2017/10/01,12:03:45,34.77481,126.337878,13.2,33.6,80
69,440123380,  2017/10/01,12:03:55,34.775328,126.33829,13.1,33.0,79
70,440123380,  2017/10/01,12:04:14,34.776305,126.339055,13.1,33.0,78
71,440123380,  2017/10/01,12:04:25,34.77691,126.339533,13.2,32.7,79
72,440123380,  2017/10/01,12:04:34,34.77732,126.339855,13.1,32.1,78
73,440123380,  2017/10/01,12:04:45,34.7779,126.340293,13.2,31.2,77
74,440123380,  2017/10/01,12:04:55,34.77841,126.340665,13.2,30.6,76
75,440123380,  2017/10/01,12:05:04,34.778882,126.341003,13.1,29.9,77
76,440123380,  2017/10/01,12:05:14,34.779408,126.341373,13.1,29.9,76
77,440123380,  2017/10/01,12:05:25,34.779993,126.341777,13.1,29.6,75
78,440123380,  2017/10/01,12:05:34,34.780467,126.3421,12.7,29.1,76
79,440123380,  2017/10/01,12:05:45,34.781027,126.34248,12.2,29.8,77
80,440123380,  2017/10/01,12:05:55,34.781508,126.342827,12.0,30.6,77
81,440123380,  2017/10/01,12:06:04,34.781938,126.343135,11.9,30.0,76
82,440123380,  2017/10/01,12:06:14,34.78242,126.34347,11.9,29.4,76
83,440123380,  2017/10/01,12:53:04,34.783107,126.342198,14.1,214.4,275
84,440123380,  2017/10/01,12:53:07,34.782997,126.342108,14.2,214.4,277
85,440123380,  2017/10/01,12:53:13,34.782727,126.341883,14.2,214.4,275
86,440123380,  2017/10/01,12:53:18,34.782457,126.341658,14.1,214.2,278
87,440123380,  2017/10/01,12:53:24,34.782133,126.341392,14.1,213.9,276
88,440123380,  2017/10/01,12:53:24,34.782133,126.341392,14.1,213.9,276
89,440123380,  2017/10/01,12:53:31,34.78175,126.341082,14.0,213.7,275
90,440123380,  2017/10/01,12:53:34,34.78159,126.340952,14.0,213.5,276
91,440123380,  2017/10/01,12:53:36,34.78148,126.340862,14.0,213.8,276
92,440123380,  2017/10/01,12:53:43,34.7811,126.340555,14.0,213.5,277
93,440123380,  2017/10/01,12:53:45,34.780993,126.340468,14.0,213.6,277
94,440123380,  2017/10/01,12:53:48,34.780827,126.340338,14.0,213.4,276
95,440123380,  2017/10/01,12:53:55,34.780445,126.340035,14.1,212.9,274
96,440123380,  2017/10/01,12:54:01,34.780115,126.339777,14.1,212.9,274
97,440123380,  2017/10/01,12:54:07,34.779783,126.33952,14.1,212.9,274
98,440123380,  2017/10/01,12:54:13,34.779457,126.339258,14.0,213.5,275
99,440123380,  2017/10/01,12:54:18,34.779183,126.33904,14.1,213.8,275
100,440123380,  2017/10/01,12:54:24,34.77886,126.338775,14.0,214.4,278
101,440123380,  2017/10/01,12:54:31,34.778483,126.338465,14.0,214.3,277
102,440123380,  2017/10/01,12:54:36,34.778213,126.338242,14.0,214.4,275
103,440123380,  2017/10/01,12:54:43,34.777835,126.337932,14.0,214.0,274
104,440123380,  2017/10/01,12:54:48,34.777557,126.337703,13.9,213.8,275
105,440123380,  2017/10/01,12:54:55,34.777188,126.337405,14.0,213.4,276
106,440123380,  2017/10/01,12:55:01,34.776865,126.337145,13.9,213.1,273
107,440123380,  2017/10/01,12:55:07,34.776542,126.336885,14.0,213.3,275
108,440123380,  2017/10/01,12:55:13,34.776207,126.336618,13.9,213.0,272
109,440123380,  2017/10/01,12:55:18,34.77595,126.33641,13.9,213.6,275
110,440123380,  2017/10/01,12:55:24,34.775627,126.33615,13.8,213.4,276
111,440123380,  2017/10/01,12:55:31,34.775248,126.335847,13.9,213.2,274
112,440123380,  2017/10/01,12:55:36,34.774982,126.335633,13.8,213.3,274
113,440123380,  2017/10/01,12:55:43,34.774605,126.335335,13.8,213.3,276
114,440123380,  2017/10/01,12:55:48,34.77434,126.33512,13.7,213.6,276
115,440123380,  2017/10/01,12:55:55,34.773955,126.334812,13.7,214.2,277
116,440123380,  2017/10/01,12:56:01,34.773648,126.334555,13.8,215.0,277
117,440123380,  2017/10/01,12:56:07,34.773333,126.334283,13.8,216.1,279
118,440123380,  2017/10/01,12:56:13,34.772975,126.333953,14.0,217.7,280
119,440123380,  2017/10/01,12:56:18,34.772758,126.333753,14.0,218.2,281
120,440123380,  2017/10/01,12:56:20,34.772665,126.333665,14.0,218.5,282
121,440123380,  2017/10/01,12:56:22,34.772512,126.333518,14.0,218.6,281
122,440123380,  2017/10/01,12:56:24,34.77246,126.333468,14.0,218.5,281
123,440123380,  2017/10/01,12:56:29,34.772207,126.333223,14.0,218.9,280
